region,index_2019,recovery_gap
North East,117.43593850844825,17.435938508448245
South West,106.74745491267386,6.747454912673859
London,105.09753160592537,5.097531605925369
East Midlands,99.94902055907069,-0.050979440929310726
Yorkshire And The Humber,98.14315528247492,-1.8568447175250782
Wales,96.57673268688096,-3.423267313119041
East Of England,89.49973874762411,-10.500261252375893
South East,88.86589047590277,-11.134109524097227
Scotland,87.72999097926305,-12.27000902073695
West Midlands,84.28056571578924,-15.719434284210763
North West,NA,NA
